信息词选择
句子理解
情景反应
听录音选图
短对话理解
短文理解
长对话理解
字母
语音
合成法
派生法
转化法
缩写和简写
同义词、近义词的辨析
词汇的惯用法
首字母填空
英文常识
词根词缀
单词填空
普通名词
专有名词
集合名词
可数名词及其单复数
不可数名词
名词所有格
名词在语境中的辨别
名词的词义辨析
定冠词（the）
不定冠词（a，an）
零冠词
冠词
人称代词
物主代词
反身代词
指示代词
不定代词
疑问代词
关系代词
相互代词
it的用法
one的用法
连接代词
代词辨析
形式主语
形式宾语
时间介词
方位介词
方式介词
目的介词
原因介词
范围介词
运动方向介词
比较介词
其他介词
常用介词的辨析
with的复合结构
介词+名词短语
介词+介词短语
介词+动名词短语
介词+动词短语
介词+副词短语
介词固定搭配
形容词的比较级和最高级
形容词的位置
形容词词义辨析
ing形容词和ed形容词
复合形容词
形容词的原级比较
副词的比较级和最高级
连接副词
时间副词
地点副词
方式副词
程度副词
疑问副词
频度副词
关系副词
副词的位置
副词的词义辨析
副词的原级比较
基数词
序数词
倍数表达法
分数表达法
时刻
日期
年份
加减乘除算式
数词的用法
量词
并列连词
从属连词
连词辨析
实义动词
实义动词的单数第三人称形式
实义动词的过去式
实义动词的过去分词
实义动词的现在分词
系动词
及物动词和不及物动词
助动词
助动词的单数第三人称形式
助动词的过去式
情态动词
动词的固定搭配
不定式
分词
动名词
非谓语动词
动词词义辨析
动词时态
动词短语
名词短语
形容词短语
副词短语
介词短语
不定式短语
动名词短语
过去分词短语
一般过去时
一般将来时
现在进行时
过去进行时
现在完成时
时态辨析
一般现在时
过去完成时
现在完成进行时
过去将来时
一般现在时的被动语态
一般过去时的被动语态
一般将来时的被动语态
情态动词的被动语态
现在进行时的被动语态
过去进行时的被动语态
现在完成时的被动语态
过去完成时的被动语态
过去将来时的被动语态
语态的辨析
主语
谓语
表语
宾语
定语
状语
名词作定语
插入语
主语+系动词+表语
主语+不及物动词
主语+及物动词+宾语
主语+及物动词+间接宾语+直接宾语
主语+及物动词+宾语+宾语补足语
here be 句型
祈使句
感叹句
主谓一致
虚拟语气
强调句
省略句
倒装句
否定句
句型转换
独立主格
一般疑问句
特殊疑问句
选择疑问句
反意疑问句
疑问词组
并列复合句
主从复合句
主语从句
表语从句
宾语从句
状语从句
定语从句
固定句式
连词成句
同位语从句
问候
看病
问路与应答
打电话
购物
谈论天气
就餐
工作
时刻/星期/日期
时段（how long）
频度（how often）
位置/地点（where）
距离（how far）
颜色（what clour）
材料
规格（what size）
年龄（how old）
长度（how long）
高度（how tall/how high）
数量（how many/how much）
建议
寻求帮助
询问别人的意见
常用日常交际用语
情境对话
补全对话
短文改错
句子改错
接送
学习
邀约
假日
聚会
谈论节日
热点时事
谚语
记叙文
说明文
应用文
议论文
人物故事类阅读
社会文化类阅读
逸闻趣事类阅读
史地常识类阅读
科普知识类阅读
人生感悟类阅读
广告布告类阅读
新闻报道类阅读
日常生活类阅读
政治经济类阅读
健康环保类阅读
教育文化类阅读
文学作品类阅读
其他类阅读
语言知识
判断推理
综合型
配对阅读
任务型阅读
阅读填空
阅读表达
阅读排序
内容归纳
阅读判断题
文中细节
作者情感
语法填空
选句填空
选词填空
首字母阅读填空
翻译填空
完成句子
汉译英
英译汉
选词完成句子
小作文
提纲作文
图表作文
图画作文
