多音字
易误读常见字
注音
常见易错字
汉字临摹
根据拼音写字词
字典、词典的使用
词性
字词的含义
词义辨析
近义词 反义词
关联词语
正确使用词语
选字组词
词语的感情色彩
并列短语
偏正短语
动宾短语
动补短语
主谓短语
介宾短语
特殊短语
短语类型
成语
单句
复句
划分句子成分
提取句子主干
句式转换
标点符号
修辞手法及运用
修辞手法的表达效果
语言的简明 连贯 得体
排列句子顺序
扩写语句
压缩语段
续写 补写 改写句子
选词造句 造段
仿写语句
对联
病句辨析与修改
新闻 广告 标语
图（表）文转换
情景对话
综合读写
写作手法
表现手法
表达方式
文章题目
描写方法
内容主旨
句段分析
环境描写
人物分析
文章结构分析
阅读开放性问题
记叙文阅读综合
散文阅读综合
小说阅读综合
说明类型
说明顺序
说明结构
说明方法
说明对象
概括说明内容
说明文阅读综合
科普阅读综合
议论文三要素
提取论点
论据作用
概括论据
补充论据
论证结构
论证语言
论证方法
论证方式
论证过程
议论文开头
议论文阅读综合
比较阅读综合
新闻的构成
新闻标题
新闻导语
提取新闻信息
新闻评论
新闻阅读综合
材料阅读
通假字
古今异义
一词多义
文言实词
文言虚词
判断句式
被动句式
倒装句式
省略句式
课内文言文阅读
课外文言文阅读
朗读节奏划分
古代文化常识
文言断句
文言翻译
文言文阅读综合
诗歌抒情方式
诗歌意象分析
诗歌题材分析
诗歌炼字炼句
诗歌关键词句
诗歌意境鉴赏
诗歌人物形象
诗歌写作手法
诗歌思想情感
咏物诗
咏志诗
贬谪诗
哲理诗
诗歌阅读综合
名篇名句默写
山水田园诗
怀古咏史诗
送别离别诗
边塞征战诗
托物言志诗
思乡怀人诗
即事感怀诗
爱情闺怨诗
羁旅诗
名著人物
名著情节
名著评价
名著综合
文学常识
书信类
笔记类
公文类
宣传类
告示类
礼仪类
契据类
传志类
命题作文
半命题作文
话题作文
材料作文
小作文
