字音
字形
字义、词义辨析
词性
感情色彩
构词方式
：短语的结构
成语
词语（熟语）使用
歇后语、谚语
关联词语
标点符号
语句停顿
语气
修辞方法
连词成句
排列句子顺序
病句辨析修改
选用、仿用和变换句式
句子成分划分及复句关系
对联
补充句子
句式
说明方法
文学常识
表达简明、连贯、得体
文言实词
文言虚词
词类活用
古今异义
通假字
一词多义
文言句式
翻译句子
名篇名句默写
文言断句
古代文学常识
小说阅读
散文阅读
传记阅读
新闻阅读
报告阅读
科普阅读
戏剧阅读
现代诗歌阅读
论述类文本阅读
一般实用类阅读
课内阅读与赏析
文言文阅读
古诗词阅读
写景诗
咏物诗
思乡怀人诗
送别诗
怀古咏史诗
边塞诗
叙事诗
哲理诗
讽喻诗
宫怨诗
爱情诗
羁旅诗
山水田园诗
名著阅读
材料阅读
综合读写
口语交际
仿写
扩写
提炼语意
理解句子
图文、表文转化
语段综合考查
材料作文
话题作文
命题作文
其他作文
解说类
叙述类
描写类
赏析类
实用类
评论类
