物质的三态及其基本特征
温度
摄氏温度及其计算
液体温度计的构造与工作原理
温度计的使用及其读数
温度计与体温计的异同
体温计的使用及其读数
熔化与熔化吸热特点
凝固与凝固放热特点
熔点和凝固点
熔化和凝固的温度—时间图象
晶体和非晶体的区别
熔化吸热和凝固放热在生活中的应用
熔化和凝固的探究实验
晶体的熔化和凝固图像
汽化及汽化吸热的特点
沸腾及沸腾条件
沸点及沸点与气压的关系
蒸发及其现象
影响蒸发快慢的因素
液化及液化现象
液化方法及其应用
探究水的沸腾实验
升华和凝华的定义和特点
生活中的升华现象
生活中的凝华现象
水的三态变化
物质的基本属性
质量及其特性
质量的估测
质量的单位换算
质量的测量与天平
天平的使用
累积法测量微小质量
密度及其特性
密度的大小比较
密度的计算
密度公式的应用
与密度有关的物理现象
量筒的使用
固体密度的测量
液体密度的测量
设计实验测密度
密度与温度
密度的应用与物质鉴别
空心、混合物质的密度计算
探究密度特性的实验
液体的密度测量实验
固体的密度测量实验
物质属性对科技进步的影响
同极相斥，异极相吸的现象
控制变量法与探究性实验方案
物理学方法
物理常识
物理量的单位及单位换算
静电现象
分子和原子组成物质
原子的核式模型
人类探究微观世界的历程
人类探究太阳系及宇宙的历程
物态的微观模型及特点
从微观到宏观的尺度
分子动理论的其它内容及
导体的特点
半导体的特点
半导体的作用
超导体的特点
超导体的作用
超导现象
超导体在磁悬浮列车、超导输电的应用
纳米材料的应用和发展前景
纳米材料的其它知识
机械运动
参照物及其选择
运动和静止的相对性
分子的热运动
宏观热现象和分子热运动的联系
电磁相互作用
电磁波在日常生活中的应用
运动形式的多样化
时间的估测
时间的测量
长度的估测
长度的测量
刻度尺的使用
误差及其减小方法
速度与物体运动
速度公式及其应用
速度的计算
运动快慢的比较
匀速直线运动
变速运动与平均速度
力的概念
力的作用效果
力的三要素
力的示意图
力作用的相互性
牛顿第一定律
物体运动状态变化的原因
惯性
惯性现象
阻力对物体运动影响的探究实验
惯性在实际生活中的应用
二力平衡的概念
平衡状态的判断
平衡力的辨别
