物质的物理特征
物质的三态及其基本特征
温度
摄氏温度及其计算
液体温度计的构造与工作原理
温度计的使用及其读数
温度计与体温计的异同
体温计的使用及其读数
熔化与熔化吸热的特点
凝固与凝固放热的特点
熔点和凝固点
熔化和凝固的温度—时间图象
晶体和非晶体的区别
熔化和凝固的探究实验
晶体的熔化和凝固图像
汽化及汽化吸热的特点
沸腾及沸腾条件
沸点及沸点与气压的关系
蒸发及其现象
影响蒸发快慢的因素
液化及液化现象
液化方法及其应用
探究水的沸腾实验
升华和凝华的定义和特点
生活中的升华现象
生活中的凝华现象
水的三态变化
物质的基本属性
质量及其特性
质量的估测
质量的单位换算
质量的测量与天平
天平的使用
累积法测量微小质量
密度及其特性
密度的大小比较
密度的计算
密度公式的应用
与密度有关的物理现象
量筒的使用
固体密度的测量
液体密度的测量
设计实验测密度
密度与温度
密度的应用与物质鉴别
空心、混合物质的密度计算
探究密度特性的实验
液体的密度测量实验
固体的密度测量实验
物质属性对科技进步的影响
控制变量法与探究性实验方案
物理学方法
物理常识
物理量的单位及单位换算
分子和原子组成物质
原子的核式模型
人类探究微观世界的历程
人类探究太阳系及宇宙的历程
物态的微观模型及特点
从微观到宏观的尺度
半导体的特点与作用
超导体的特点与作用
超导体在磁悬浮列车、超导输电的应用
纳米材料的应用和发展前景
纳米材料的其它知识
机械运动
参照物及其选择
运动和静止的相对性
分子的热运动
电磁相互作用
时间的估测
时间的测量
长度的估测
长度的测量
刻度尺的使用
误差及其减小方法
速度与物体运动
速度公式及其应用
速度的计算
运动快慢的比较
匀速直线运动
变速运动与平均速度
力的概念
力的作用效果
力的三要素
力的示意图与图示
力作用的相互性
牛顿第一定律
物体运动状态变化的判断
惯性
惯性现象
阻力对物体运动影响的探究实验
惯性在实际生活中的应用
二力平衡的概念
平衡状态的判断
平衡力的辨别
平衡力和相互作用力的区分
二力平衡条件的应用
力与运动的关系
力与图象的结合
力的合成与应用
滑轮组绳子拉力的计算
稳度和提高稳度的方法
滑轮组的设计与组装
弹力
弹簧测力计及其原理
探究弹簧测力计原理的实验
弹簧测力计的使用与读数
弹簧测力计在力的相互性方面的应用
重力
重力大小的估测
重力的计算
重心
重力的方向
重力示意图
探究重力大小跟什么因素有关的实验
摩擦力的大小
摩擦力大小的影响因素
摩擦力产生的条件
摩擦力的方向
摩擦力的种类
增大或减小摩擦的方法
摩擦力的示意图
有关摩擦力实验的设计
探究摩擦力的大小与什么因素有关的实验
杠杆及其五要素
杠杆的平衡条件
杠杆的分类
力臂的画法
杠杆的动态平衡分析
杠杆的平衡分析法及其应用
杠杆中最小力的问题
杠杆的应用
探究杠杆的平衡条件实验
定滑轮及其工作特点
动滑轮及其工作特点
滑轮组及其工作特点
斜面与轮轴
动滑轮拉力的计算
压力及重力与压力的区别
压强
压强大小比较
增大压强的方法及其应用
减小压强的方法及其应用
压强的大小及其计算
