小学科学
米饭、淀粉和碘酒的变化
铁生锈
古代四大发明
质量的测量和单位
托盘天平的使用
小苏打和白醋的变化
实验：测量不规则石块的体积
物体的材料
材料的硬度
材料的韧性
材料的吸水能力
材料的漂浮能力
材料的导电性
材料的透明程度
材料的导热性
认识固体
认识液体
认识气体
常见的材料
金属的特性
塑料的特性
木头的特性
纸的特性
造纸术的发明
砖瓦、陶瓷的用途
砖瓦、陶瓷的性质
天然材料和人造材料
可回收材料与不可回收材料
复合材料
纺织材料
制造飞机的主要材料和分布
有毒和无毒塑料的辨别
合理使用材料
饮料罐
材料资料库
混合物的分离
物体的物理变化
物体的化学变化
物理变化与化学变化的区别
生活中常见的化学变化
世界由物质构成
白糖加热
物质变化与我们的生活
长度的测量
体积的测量
物体的分类
燃烧原理和生活中常见
水的概念、特征和用途
水结冰
冰融化
水蒸气变小水珠
水蒸发
冰、水、水蒸气在形状和体积等方面的区别
量筒及使用注意事项
影响水结冰和水沸腾过程的主要因素
水的三态变化
日常生活中水的蒸发和水蒸气凝结成水的实例
物质的溶解分离
实验：测量水的熔沸点实验
物质的状态
地球是一个“水球”和“气球”
体温计
温度的概念
温度计
过滤的过程
物质在水中的溶解能力
液体之间的溶解
分离食盐与水的方法
溶解的特征
实验：探究影响物质在水中溶解快慢的因素
水和食用油的比较
溶剂的特征
影响液体流动快慢的因素
高锰酸钾的溶解和用途
液体体积的估测
酒精灯的构造
酒精灯使用的注意事项
粗盐的制作原理和过程
海面溢油清理
饮用水和矿泉水
毛细现象
表面张力
空气的颜色、状态、气味等特征
空气具有质量
空气占据空间
空气是混合物
空气的主要成分
氧气和二氧化碳对生命的意义
空气流动的原因
生活中常见的形成风的方法
热空气上升的现象
实验：证实空气存在
著名科学家伽利略
风的好处与危害
空气与水的比较
大气压力
大气压力的应用
空气压缩
描述物体的位置和方向
用另一个物体描述运动物体的位置—参照物
距离的测量
时间的测量
速度
交通运输
直线运动
曲线运动
生活中常见物体的运动方式
不同运动的形式和特征
测量物体位置常见工具
图示文字描述物体运动状态和过程
时间的概念
钟表
太阳钟
水钟
机械摆钟
实验：探究影响摆的快慢的因素
一分钟计时器制作
滴漏实验
时间的痕迹
静止和相对静止
实验：探究影响小车运动的快慢的因素
运动与相对运动
不倒翁原理和应用
惯性
力的概念和作用
重力
拉力
弹力
反冲力和反冲运动
地球引力
力对物体形状的改变
实验：观察常见的力对物体的作用
力的单位
弹簧测力计
摩擦力
影响摩擦力大小的因素
摩擦力的利弊
滑动与滚动
滑动与滚动的摩擦力
滚珠轴承的作用
摩擦力在自行车设计上的应用
小赛车设计特点
浮力
物体的浮沉现象
影响物体浮沉的因素
下沉物体在水中受到的浮力
实验：橡皮泥在水中的沉浮
实验：探究马铃薯沉浮的原因
造船和船的发展史
实验：测量泡沫塑料受到的浮力
沉浮子
阿基米德原理
潜水艇
降落伞与空气阻力
气球和篮球
影响自转旋翼下降快慢的因素
制作自转旋翼
在空气中飘的物体的共同特点
实验：探究物体运动时
声音的传播
声音在不同物体中的传播
声音产生的原因
声音的强弱
声音的高低
实验：探索声音的产生和传播
振动变化对声音的变化影响
声音的两个基本指标及单位
制作产生不同高低、强弱声音的简易装置
耳的结构和功能
人感受声音的过程
人的发声器官
实验：“鼓膜”振动的观察和比较
噪音的来源
保护听力
音叉
听诊器
探索尺子的音高变化
噪声的危害和防治
音乐与乐器
光源
人眼看到物体的条件和原因
光的传播
阴影的产生原因
光传播方向的改变
太阳光穿过三棱镜现象
太阳光的组成
光的反射
影子
影子的变化
日影观测仪
平面镜与曲面镜
凸透镜与凹透镜
光的强弱与温度
颜色与吸热的关系
光照方向与吸热的关系
太阳能热水器
牛顿的发现
看不见的光线
小孔成像
光的折射
平面镜成像原理
实验：探究凸透镜成像原理
光的三原色
身体增加热量方法
水变热过程
水结冰时的体积变化
液体的热胀冷缩
气体的热胀冷缩
固体的热胀冷缩
热传递
常见的热传递现象
影响热传递的主要因素
物质的导热性
热传递的应用
保温杯设计制作
物体的热缩冷胀
静电现象
电的种类
正电荷和负电荷
形成电流的条件
交流电和干电池电
简单电路
电源短路
电路故障
导体
绝缘体
开关
串联与并联
控制电路的方法—切断闭合电路
电的用途
实验：简单电路的制作
雷电、高压电、交流电对人体的伤害
闪电与避雷针
安全用电
小灯泡的构造
磁铁种类
磁铁的吸引作用
指南针
指南针的使用
磁铁的两极
磁极与方向
同极相斥异极相吸
磁力大小
磁性的概念和用途
磁悬浮列车
日常生活中的能量
运动的物体具有能量
能量的不同形式
电动机的工作原理
不同能量的转化
通电导线与线圈对指南针的影响
电磁铁的南北极
电磁铁的磁力
电能和能量
电的来源
能量与太阳
电与磁
生物的种类
生物的特征
生物与非生物的区别
常见动物的名称及其特征
动物的某些共同特征
动物的分类
常见的动物类别
我国的珍稀动物
常见植物的名称及其特征
植物的某些共同特征
当地植物资源
常见植物的简单二歧分类
放大镜
放大镜下的晶体
日常生活中的晶体
放大镜下的昆虫世界
显微镜的发明和发展
显微镜的使用
细胞学说
细胞的作用
微生物的特征
微生物的特殊构造和功能
人类探索微小世界的成果
水中常见的微生物
与生活密切相关的多种微生物
实验：观察洋葱表皮细胞
杂交水稻之父—袁隆平
脊椎动物
无脊椎动物
自然界的生存法则
植物植株的组成部分
植物对环境的适应
植物的生长变化过程
植物在四季的变化
植物的分类
树与草的区别
水生植物
陆生植物
植物的种子
种子发芽实验
种子的结构及萌发
植物种子的传播方式
植物的生长需要
植物的相同特点
植物的生命周期
植物的叶
植物的根
植物的茎
植物的花
植物的果实
完全花和不完全花
：雄蕊和雌蕊
花粉传播
观察绿豆芽的生长
油菜花和凤仙花
叶为植物提供“食物”与光合作用
植物资料库
爱护植物
观察植物
：研究豆苗的生长对阳光的需求
动物通过不同器官感知环境
动物适应季节变化的方式和作用
动物在环境变化时的行为
动物的共同特点
动物的生存需要
动物的生命周期
蜗牛的特征
蚯蚓的特征
昆虫的特征
金鱼的特征
蚕的形态和生命周期
变态与不变态
动物依赖于环境
动物资料库
动物的卵
青蛙卵的孵化
小鸡的孵化
动物的食物
动物的运动方式
实验：动物保护色实验
观察小动物
爱护动物
存储食物的各种方法
维生素
零食选择原则
食品安全
人体体温和舒适温度
含有淀粉的食物与不含淀粉的食物
人的生长发育
身体的结构
眼、耳、鼻、舌、皮肤
人体对环境刺激的反应方式和作用
保护人体感知器官
人体的呼吸器官
人体用于摄取养分的器官及其保护方法
大脑的功能
保护脑健康
生活习惯对人体的影响
生存环境对人体的影响
人体的骨骼
身体的肢体运动
运动与呼吸
运动与心跳
人的呼吸原理
人体的消化器官
口腔的组成
牙齿的分类
牙齿的生长过程
青春期
肺与心脏的工作
“细嚼慢咽”
相互协调的人体器官
食物的分类
食物的营养成分及作用
辨别食物中的营养成分
营养均衡标准
膳食营养搭配原则
生的食物和熟的食物
实验：探究面包发霉原因
影响食物保质期长短的因素
食物腐败变质的原因
食物包装上的信息
微生物生长繁殖的条件
饮食与健康
合理锻炼与健康
吸烟的危害
体育运动和竞赛
身高和体重
植物繁殖的多种方式
胎生和卵生
生物繁殖新技术
克隆技术
植物后代与亲代的异同
动物后代与亲代的异同
灭绝生物与化石
