信息词选择
句子理解
情景反应
听录音选图
短对话理解
长对话理解
短文理解
语音
单词、词组
英释词义
单词填空
可数名词及其单复数
不可数名词
专有名词
名词所有格
名词的词义辨析
不定冠词
定冠词
零冠词
冠词的用法辨析
人称代词
物主代词
反身代词
不定代词
指示代词
疑问代词
相互代词
连接代词
关系代词
形容词的比较级与最高级
形容词作定语时的位置、作用
形容词的排序
形容词词意辨析
形容词短语
形容词的原级比较
副词的比较级与最高级
副词的位置作用
时间副词
地点副词
方式副词
程度副词
疑问副词
频度副词
连接副词
关系副词
副词辨析
时间介词
方位介词
方式介词
目的介词
原因介词
范围介词
运动方向介词
比较介词
其他介词
of介词短语表示所属
介词短语
介词
并列连词
从属连词
动词的第三人称单数
动词的过去式
动词的现在分词
动词的过去分词
系动词
情态动词
助动词
实义动词
动词短语
动词时态
动词语态
动词的双宾语
动词的复合宾语
动词的辨析
现在分词的被动式
现在分词的完成式
现在分词
动名词的完成式
动名词的被动式
动名词
不定式的完成式
不定式的被动式
不定式的进行式
不定式
过去分词
基数词
序数词
读数
数的加减乘除
年月日年龄时刻的读法及用法
分数
大数
倍数
约数
小数
百分数
量词
名词+of 表示数量
与数量有关的代词和限定词
数词+单位名称
与数量有关的合成词
一般现在时
一般过去时
一般将来时
现在进行时
过去进行时
过去将来时
将来进行时
现在完成时
过去完成时
现在完成进行时
将来完成时
过去完成进行时
一般将来时的被动语态
现在完成时的被动语态
现在进行时的被动语态
一般过去时的被动语态
过去完成时的被动语态
一般现在时的被动语态
过去进行时的被动语态
将来完成时的被动语态
过去将来时的被动语态
简单句
陈述句
肯定句
否定句
一般疑问句
特殊疑问句
选择疑问句
反意疑问句
祈使句
感叹句
倒装句
强调句
省略句
插入语
it 的用法
there be 句型
主谓一致
谓语
虚拟语气
独立主格结构
直接引语与间接引语
反诘句
并列句
独立主格
状语
定语
补语
特殊句式
选词完成句子
限制性定语从句
非限制性定语从句
定语从句综合
that引导的主语从句
if引导的主语从句
whether引导的主语从句
wh-引导的主语从句
主语从句综合
动词的宾语从句
介词的宾语从句
形容词的宾语从句
宾语从句综合
表语从句
同位语从句
原因状语从句
条件状语从句
时间状语从句
地点状语从句
结果状语从句
让步状语从句
目的状语从句
方式状语从句
比较状语从句
状语从句综合
with的复合结构
日常活动
学校生活
个人情况
家庭、朋友与周围的人
周围的环境
兴趣与爱好
个人感情
人际关系
计划与愿望
节假日活动
购物
饮食
健康
天气
文娱与体育
旅游和交通
语言学习
自然
世界和环境
科普知识与现代技术
热点话题
历史和地理
社会
文学与艺术
工作
问候
介绍
接送
感谢
道歉
邀请
请求允许
祝愿和祝贺
提供帮助
接受或拒绝
约会
打电话
就餐
就医
购物
问路
谈论天气
语言交际
提醒注意
警告和禁止
劝告
建议
谚语
完成句子
工作
句子改错
首字母填空
句型转换
完成对话
对话填空
记叙文
说明文
应用文
议论文
其他
人物故事
社会文化
逸闻趣事
史地常识类阅读
科普知识类阅读
人生感悟类阅读
广告布告类阅读
新闻报道类阅读
日常生活类阅读
政治经济类阅读
健康环保类阅读
其他类阅读
教育文化类阅读
文学艺术类阅读
故事类阅读
语法结构
词法结构
上下文逻辑推测
社会知识面
情感态度
语法填空
综合填空
选词填空
首字母阅读填空
人物故事类
故事类阅读
广告布告类阅读
新闻报道类阅读
科教类阅读
社会文化类阅读
政治经济类阅读
历史文化类阅读
日常生活类阅读
健康环保类阅读
人生感悟类阅读
人文地理类阅读
文学艺术类阅读
内容归纳
文中细节
深层含义
逻辑推理
猜测词义
作者情感态度
阅读排序
阅读判断
配对阅读
阅读表达
阅读填空
阅读表格
阅读翻译
任务型阅读
选句填空
应用文阅读
记叙文阅读
说明文阅读
议论文阅读
新闻报道阅读
新媒体阅读
讲座报告阅读
对话/访谈阅读
其他体裁阅读
英译汉
汉译英
翻译填空
提纲类
图表类
图画类
开放类
读写任务作文
概要写作
读后续写
短文改错
记叙文
说明文
议论文
应用文
