加减法的巧算
乘除法的巧算
小数的巧算
分数的巧算
四则运算的巧算
循环小数
繁分数
乘方
比较大小
估计与估算
定义新运算
高斯取整
乘积的个位数
等差数列
等比数列
斐波那契数列
高斯求和
页码问题
填符号组算式
横式数字谜
竖式数字谜
凑数谜
数列分组
幻方
奇阶、偶阶幻方
进位制
数字问题
奇偶性问题
质数与合数
因数与倍数
整数的裂项与拆分
位值原则
数的整除特征
带余除法
分解质因数
约数个数与约数和定理
同余定理
完全平方数性质
孙子定理（中国剩余定理）
辗转相除法
数字和问题
等量关系与方程
二元一次方程组的求解
不定方程的分析求解
不等方程的分析求解
加法原理
乘法原理
容斥原理
抽屉原理
握手问题
排队论问题
烙饼问题
沏茶问题
概率
分数的拆项
分数和百分数应用题
比例应用题
正、反比例
工程问题
利润、利息、纳税
浓度问题
折扣问题
简单行程问题
相遇问题
追及问题
流水行船问题
多次相遇问题
环形跑道问题
列车过桥问题
发车间隔问题
错车问题
简单应用题
归一归总问题
和差问题
和倍问题
差倍问题
植树问题
方阵问题
年龄问题
鸡兔同笼
牛吃草问题
平均数问题
分配盈亏问题
逆推问题（还原问题）
代换问题
周期性问题
最优化问题
上楼问题
组合图形的计数
长度和角度
巧算周长
剪切和拼接
等积变形
图形的变换和对称性
三角形的面积
相似三角形
燕尾定理
差不变原理
立体图形的表面积
立体图形的体积
数阵图中找规律
体积的等积变形
：三视图与展开图
最短线路问题
染色问题
圆
格点面积（毕克定理）
圆柱与圆锥
：构造型问题
：勾股定理
简单基础题
最大与最小
钱币问题
时间与钟面
逻辑推理
最佳方法问题
最佳对策问题
简单规划问题
重叠问题
图形划分
数字分组
排列组合
筛选与枚举
一笔画定理
哈密尔顿圈与哈密尔顿链
火柴棒问题
智力问题
找规律
