天文学中的距离单位
天体及天体系统
地球的宇宙环境
太阳系及八大行星
地球上存在生命的条件及原因
太阳能量的来源及其对地球的影响
太阳大气的结构及太阳活动的类型
太阳活动对地球的影响
地球自转的特征
昼夜更替和地方时产生的原因
地转偏向力对地表水平运动物体的影响
地方时与区时的区别及计算
日期和国际日期变更线
地球公转的方向、轨道、周期和速度
黄赤交角的概念及图示
正午太阳高度的变化
昼夜长短的变化
四季和五带的形成
地球运动的地理意义
地球的圈层结构
各圈层的主要特点
人类宇宙观念的发展
宇宙探测
地球的普通性
晨昏线的判读及应用
大气的组成
大气的垂直分层及各层对人类活动的影响
大气的受热过程
大气运动的原因和风的受力分析
气压带、风带的分布及移动
海陆分布对气压带的影响
全球气压带、风带分布示意图
大气环流与水热输送的关系
锋面系统与天气
气压系统与天气
影响气候的主要因素
天气图
保护大气环境的意义
水循环的过程和主要环节
水循环的意义
陆地水体类型及其相互关系
海水温度和盐度及其与环境的关系
洋流的概念和类型
世界洋流分布规律
洋流对地理环境的影响海水运动的主要形式
洋流的成因和地理意义
海洋环境问题以及保护措施
地壳的物质组成
矿物和岩石的关系
三大类岩石的成因
三类岩石的相互转化和地壳物质循环
地表形态变化的原因和地质构造
板块构造学说和板块构造示意图
板块运动对地表的影响
地壳物质循环及其对地表的影响
生物在地理环境形成和发展过程中的作用
热力环流的成因及过程
土壤的形成及其在地理环境中的作用
气候类型的判读
生物进化与环境变迁
地理环境的整体性及表现
影响土壤发育的主要因素
自然地理要素在地理环境形成和演变中的作用
地理环境各要素的相互作用
地理环境的整体性
地理环境的地域分布规律
地理环境对人类的影响
地域分异规律和非地带性分异规律
乡村和城市的起源
城市的形成
地表形态对聚落及交通线路分布的影响
自然资源对人类生存与发展的意义
全球气候变化对人类活动的影响
自然资源与人类活动的相互关系
主要自然资源的特征
自然资源的开发利用与保护
自然灾害类型、发生的主要原因及危害
灾害防治
新能源的开发
中国耕地资源的分布、开发利用现状
耕地保护与粮食安全的关系
碳排放对环境的影响
人口增长模式的主要特点及地区分布
人口迁移的主要原因
环境承载力与人口合理容量的区别
城市的空间结构及其形成原因
城市地域结构
